Rank,Team,Score %,QB,RB,WR,FLX,TE,K,DST
1,Spos Before Hos,100,8,5,2,4,3,3,2
2,Hebrew Wolves,99.3,11,4,4,1,10,4,5
3,Cool Hand Lou,97.6,13,2,9,3,7,5,7
4,Team Frisch,96.4,4,7,3,10,8,1,10
5,Team Thomas,94.6,3,8,6,6,5,9,3
6,Deflate Deez Nutz,93.7,9,6,1,11,13,13,9
7,Gurley Gone Wild,91.7,10,3,10,2,14,12,6
8,Team Wasserman,89,7,1,13,7,6,14,11
9,SFV Aguilar,87.6,5,14,5,9,1,10,13
10,Team Force,86.9,14,9,7,5,12,8,12
11,Team Gregory,86.9,1,10,12,13,11,6,1
12,OhNo RoMo,85.8,12,11,11,12,4,11,4
13,SUPERMAX LOCO,82.9,2,13,8,8,9,7,13
14,Little Miss Moffett,71.4,6,12,14,14,2,2,8
