Rank,Team,Score %,QB,RB,WR,FLX,TE,K,DST
1,Spos Before Hos,100,7,7,2,2,1,8,2
2,Team Gregory,94.5,11,8,1,7,6,2,5
3,Gurley Gone Wild,94.1,6,6,5,4,7,8,1
4,Team Wasserman,91,9,1,13,3,13,13,14
5,Team Frisch,90.5,3,5,6,14,8,4,4
6,Cool Hand Lou,90.1,14,2,9,1,5,14,13
7,Deflate Deez Nutz,89.9,8,4,10,5,11,6,7
8,OhNo RoMo,89.7,13,3,3,13,4,12,9
9,SFV Aguilar,87.3,2,11,7,10,3,11,12
10,Team Force,84.7,4,10,4,6,14,10,10
11,Hebrew Wolves,84.4,5,9,8,8,12,7,8
12,Little Miss Moffett,83.7,1,12,12,11,10,1,3
13,Team Thomas,76.6,10,14,11,9,9,5,6
14,SUPERMAX RULES!,73,12,13,14,12,2,3,11
