Rank,Team,Score %,QB,RB,WR,FLX,TE,K,DST
1,Team Wasserman,100,7,1,12,1,6,8,7
2,Spos Before Hos,96.4,11,6,1,6,2,12,4
3,Deflate Deez Nutz,95.1,9,4,3,3,8,4,9
4,Gurley Gone Wild,92.5,13,5,6,7,5,10,3
5,Cool Hand Lou,92,12,3,9,2,11,13,8
6,SFV Aguilar,90.1,6,9,7,9,3,11,11
7,OhNo RoMo,89.7,14,2,8,10,7,9,12
8,Hebrew Wolves,83,8,8,5,4,10,14,5
9,SUPERMAX LOCO,82.8,10,12,10,6,1,5,6
10,Team Force,80.6,3,11,4,5,12,6,14
11,Team Thomas,80.2,1,13,13,12,4,7,2
12,Team Frisch,79.8,5,7,14,13,9,3,10
13,Little Miss Moffett,73.5,4,10,11,8,14,1,14
14,Team Gregory,69,2,14,2,14,14,2,2
