Rank,Team,Score %,QB,RB,WR,FLX,TE,K,DST
1,Team Wasserman,100,9,1,13,6,13,12,2
2,Spos Before Hos,98.8,8,11,2,12,2,5,3
3,OhNo RoMo,98.4,14,2,4,11,3,10,11
4,SFV Aguilar,96.6,2,9,10,7,1,11,9
5,Team Gregory,95.9,3,8,1,5,8,2,14
6,Hebrew Wolves,95.1,12,7,3,2,10,4,10
7,Deflate Deez Nutz,93.7,10,5,9,4,11,3,13
8,SUPERMAX LOCO,93.5,13,6,11,10,4,8,7
9,Team Frisch,93,7,10,6,9,6,6,12
10,Gurley Gone Wild,92.7,6,3,8,3,9,13,1
11,Team Thomas,91.4,4,13,12,8,5,7,4
12,Little Miss Moffett,89.6,1,12,14,13,7,1,5
13,Cool Hand Lou,88.3,11,4,5,1,14,13,8
14,Team Force,85.4,5,14,6,14,12,9,6
